start	end	text
376140	381580	That way we understand what I'm internalizing, what am I seeing, what's likely to pan out.
381580	382580	That's what I want.
382580	388180	So now I'm going to study to see if price does, in fact, deliver with that premise in
388180	389180	mind.
389180	394860	Again, if I'm lucky, it could expand up into that 40.51 in the quarter, but I don't need
394860	399380	it to because the bulk of the position, which is now six contracts, I'm going to take four
399380	404020	off above that buy-side liquidity should I get the opportunity to do so.
404020	407020	And I'll do it on the basis of a market order.
407020	409120	All right.
409120	416900	So far we're getting some response off that order block level I've annotated.
416900	422140	OCD is flaring.
422140	424620	I like things the way I like them, folks.
424620	425620	All right.
425620	428020	Nice little caffeine bar there.
428020	432460	Caffeine bar is something I named Big Green Candles.
432460	435940	If I'm bullish, I want to see that.
435940	443140	If I'm embarrassed and I see it, I don't like it.
443140	453580	Okay, so I'm just being a little facetious here.
453580	460660	You don't see that type of stuff called before it happens, that precise, but it's okay.
460660	471780	I'm going to give you some more evidence here today.
471780	477580	Now this is what you want to do also if you're practicing reading order flow, tape reading.
477580	480540	You don't have to necessarily put a demo account position on.
480620	483540	I'm doing it just simply because a lot of people like to see it.
483540	493860	Okay, this is me just making sure you understand that I see this before it happens.
493860	499980	Not speaking in waffle ease where it's hard to tell what I'm saying, what I'm expecting.
499980	502900	It's very, very specific.
502900	506540	Nothing ambiguous is being hinted at in here.
506540	510500	Okay, so sell-side has been taken.
510500	516700	This is now being dimmed so that way the focus is on the levels that are more pronounced
516700	517700	in color.
517700	523420	Now see, there's two down close candles.
523420	531380	The higher candle of the two, I'm going to draw an order block on, it can drop down into
531380	538900	that, pick up momentum from there, and then the algorithm will likely reprice higher to
538900	545020	the buy-side liquidity or around that 40-36 level.
545020	551180	So I'm allowing for and preparing myself, should it trade down into that level, it might
551180	555740	just touch the higher wick of the two down close candles I'm anchoring to, but I'm using
555740	563340	the uppermost opening price as kind of like the level I'm looking for, but that small
563820	571740	wick high, it might just touch that and be enough, or it may not even touch it at all.
571740	574860	But when you're watching order flaming, make this a little bit more thicker so you can
574860	582100	see it, be able to track what price is doing.
582100	592060	Now this is one of those instances where you're looking for price to kind of like drive higher
592180	599980	You want to do it in like big candles, speed, delivery right to where you're looking for.
599980	604580	Traders are now trying to go short because they looked at that imbalance at 8.30, the
604580	608140	quick sudden drop, the market has come back and rebalanced that.
608140	609820	Now it's starting to drift lower.
609820	615020	People that follow imbalances and things like that, because it's gotten real popular lately,
615020	620620	that idea they're trying to sell short on, I'm going against that and I'm targeting them.
620860	622860	Okay, so that's a buy right there.
626060	632300	So, order block right there, right.
632300	637260	I would adjust that line, but I've already outlined what I'm saying here.
637260	641340	It's basically touched the little wick.
641340	646620	So if I wanted to add one more, which I guess I could, I could buy one here just to prove
646620	649260	the point, but it is what it is.
649260	652300	Let's assume that this is all we're going to build on.
652300	656060	I want to see it rally higher from here.
656060	657980	Notice I'm not in a hurry to rush my stop-loss up.
662700	664700	Very nice price delivery there.
664700	667020	So think about what's being shown here.
667020	675820	The down-closed candles are supporting price, we're seeing expansion, and where is the bullseye?
675820	678940	Okay, can't return 50.
678940	680940	My eyes are not what they used to be, folks.
682700	684940	I'm sure if it was a rattlesnake, I'd be bit by now.
689900	690780	There it is.
690780	692700	I should have checked my most recent ones at the top.
693660	695820	All right, so we'll put that right here.
695820	697580	That's our bullseye, okay.
697580	706460	And I can bring my stop-loss up to break even.
706460	707740	Actually, let me get that a little bit higher.
709740	714380	And we can see the profit and loss for these guys that like to see those numbers flashing.
717020	720620	All right, so I'm going to take four off when it runs above that high, and then I'll
722060	724780	consider moving my stop-up and see if I can get lucky the rest of the day.
724780	727260	I have things I have to take care of, administrative things.
728300	732940	Video production, so should we get this run up above?
732940	734700	I'm going to close four at market.
739580	741820	Okay, just sitting here waiting for it to deliver.
744860	747740	And again, those order blocks were drawn real time.
747740	748860	You saw it happen.
748860	754060	I've outlined it, gave you the logic, and we'll see if we can get some magic.
755740	756300	There we go.
757580	773900	So I'm going to show you the executions here, and we can see the business.
776460	782220	Okay, and I'll leave it up to the market to decide whether or not it wants to go up
782220	784460	and take the 40, 51 and a quarter level.
784460	785820	It doesn't need to at this point.
785820	790540	I've booked over five hypothetical thousand dollars in this example here,
790540	795820	reading order flow, and that will be it for this one, I believe.
795820	800620	And I'll just change this color here because now it's been fulfilled.
804780	809580	And my typical sarcastic ripping.
811900	813340	It's got to be me.
814700	819340	So here is the final.
819340	828220	Here is the buying 4,006 and a half, and then buying this here.
829020	832700	So the initial was buying the fair value gap sell stops, then the order block,
832700	837980	then selling four above here, and I moved the stop loss up,
839260	842140	and it tripped me out right there on the final two.
843020	844380	So hopefully you found this insightful.
845260	847980	Until next time, be safe.
