start	end	text
222720	229760	the price aggressively moves in one direction to trigger clusters of stop losses from us retail
229760	235840	traders. These triggered stops will create a liquidity pool, a liquidity pool that the
235840	241760	large institutions need in order to fill their positions without negatively affecting the price.
241760	247440	Without this engineered liquidity the big players wouldn't be able to execute their trades at least
247440	254000	not efficiently without negatively affecting their entry and exit levels. The best explanation comes
254000	260080	from old school trader Dr. David Paul. The best trades occur after the masses have been stopped
260080	265680	out and that's because the big fellas up there they can't press the wee button and get in because
265680	273040	there's just not enough liquidity there for them to get in in size so they have to in fact engineer
273600	280800	a hundred thousand guys like you sir pull you one way your stop loss gets hit that in fact sets off
280800	287600	a sea of liquidity for them to get in. So yeah these candles they are engineered and that is why
287600	293040	I like to call them manipulation candles and they happen almost daily so that these big players
293040	297280	can get in and out of their trades. So the most important thing to understand
297280	303680	how this quick flip scalper takes advantage of this very phenomenon is that when you see these
303680	310880	candles most of the time the candle is reversed and right there that's the strategy that is the
310880	315440	edge that we will be using. Now if there's any doubt in your mind whether or not the candle you
315440	321280	are looking at is or is not a manipulation candle let me show you a quick and easy way to figure that
321600	326400	out. So what we want to do is to switch to a daily chart of the asset that we are trading
327120	332080	and we're going to add the average true range indicator. You don't have to make any adjustments
332080	339200	to it just use the default settings of 14 days. This indicator will give us a numerical value
339200	345360	in this case for Nasdaq it is 420 points. Let's go ahead and make the math a little bit easier
345360	354160	and write 400 points. What does these 400 points represent? Well they represent the average range
354160	362080	of Nasdaq 100 in the last 14 days so it's either up 400 points or down 400 points on any average
362080	368160	day. So the trading range is one of the most important parameters for us as traders whether
368160	374000	you use this quick flip scalper or not. Here is what we want to determine back on the 15 minute
374000	382640	chart if the size of this candle that we just boxed in is 25 percent or more of that daily
382640	389440	range then it is a manipulation candle. So here's the basic math to figure that out. We take these
389440	402640	400 points right and we multiply it with 25 percent and you will have 100 points. So if the
402640	410160	high of that candle to the low of that candle exceeds 100 points it is in fact a manipulation
410160	416160	candle. So you will see that the very low of this candle is 24 502 points and the very high is
416160	426000	24 675 points and yeah that is well outside the 100 points range so this is definitely a manipulation
426000	432160	candle. So one thing to think about is that if it's at 95 points or 90 points let's say that it's
432160	439440	around 22 23 percent don't sweat the details you can still use it but if it's 25 percent or more
439440	445280	that is a dead giveaway that it's being manipulated. So that wraps up step number two
445280	450000	which also was pretty simple right. Now let's move on to the third and last step which is to
450000	460400	make the perfect entry. This is going to be pretty simple too so here is what we're going to do.
460400	465600	We're going to go back to that 15 minute chart and we're going to move it to a smaller time frame
465600	471840	and that can be the five minute time frame or anything below that. So we can do three minutes,
471840	476800	we can do two minutes and we can even do the one minute time frame. I prefer to use the five minute
476800	481440	because that is what I'm used to and that's what I'm going to use now for the rest of this
481440	487200	demonstration. Now from here what we need which is the most important part of the video we need one
487200	493360	out of two types of candles to appear they need to appear outside the range outside the range that
493360	498080	we boxed in in step one and I say it's the most important part because if none of these candles
498080	503760	appear the price is not ready to be reversed. That movement could actually continue for 20 minutes
503760	510480	30 minutes 40 minutes or an hour or like the rest of the freaking day it can just keep on going and
510480	516000	we want one of these two candles to appear again outside the box range and we want them to appear
516000	523760	within 90 minutes of the market open. So if that doesn't happen the opportunity is lost and we will
523760	529520	not take the trade. If you know about reversal candlesticks if you watch some of my old videos
529520	534720	you already know what the two types of candles are. Two candles that I'm going to be looking for
534720	540480	are going to be either the hammer or the inverted hammer candle or the bullish or bearish engulfing
540480	545360	candle. Here's why these two candles are important and why they must be used in this trade setup.
545360	551200	Let's start with the hammer candle on the long side so this must come after a clear red negative
551840	560560	price movement. The confirmation comes from within the wick itself right here. This wick represents
560560	566160	that the largest buyer took advantage of that liquidity and the institutions bought into that
566160	570880	weakness and I've said in past videos that you have to think about it this way that if someone
570880	576160	with that amount of buying power is going to step in here and buy that dip it's not going to
576160	581600	go lower in most cases and that is where the edge is. They're just too big they are too strong and
581600	587920	they have announced their intentions and most likely the price will go higher from here. Again
587920	592320	not all the time but most of the time it will. The entry is going to be very simple we're going to
592320	596720	wait for the break of the candle and we're going to enter the trade in the opening of the next
596720	602240	candle. So we're going to enter the trade here and the stop loss would be set at the low.
603280	609920	The inverted hammer would be something that comes after a clear positive green movement. You would
609920	616240	have the wick coming from the top again the confirmation comes from within the wick itself
616240	624000	right here. The entry would be at the break of the next five minute candle here and the stop
624000	630800	loss would be put slightly above the high here. Now the engulfing candles have the exact same
630800	636400	significance but they look different. They are called engulfing because this large candle here
637200	643840	fully engulfs the previous smaller candle. For engulfing candles though I like to set the entry
643840	648640	level already at the high of the previous candle. So for the bullish engulfing candle I would set
648640	655520	my long entry already here at the high of this red candle and I would place the stop loss at the low
655520	661680	of the engulfing candle. And for bearish engulfing candles we enter the short trade
661680	669760	already at the low of the previous green candle. So that would be here and we place the stop loss
669760	674320	at the high. So if you didn't follow that don't worry we're going to go through this step by step
674320	678960	now. So let's go ahead and open up the Nasdaq 100 short again. So the day started with this
678960	683840	positive green liquidity candle which means that we are now looking for negative reversals
683840	690160	somewhere above this range. So we're looking for inverted hammers or bearish engulfers above
690160	695040	the boxed range. If today would have been a negative red liquidity candle we would instead
695040	700640	be looking for positive reversal candlesticks like the hammer or the bullish engulfing candle
701200	707600	and we would look for it below the boxed range. So let's see how this day continues. So this is
707600	713760	on the 15 minute chart. We have confirmed that it's a positive liquidity candle and we have drawn
713760	719520	up the box into the future. So we're now going to go into a lower time frame to look for the reversal.
719520	724400	I will use the five minute one. Let's see what happens. We see that the price continues up from
724400	731840	here for a couple of candles. It's not ready to be reversed yet but around here around 45 minutes
731840	737440	after the opening something happens. You should be seeing what I'm seeing now which is a inverted
737440	743120	hammer candlestick. So the entry would be very straightforward. We would enter the trade here
743120	749040	at the break of the next candle. We set the stop above the high and then we set the target profit
749200	754880	at the bottom of the box that we've just drawn. So the box that we drew has another purpose than
754880	760400	just showing where we are looking for the reversals. It actually gives us two irrelevant target profit
760400	765920	levels. One is the high of the opening and the second one is the low of the opening that I just
765920	771200	used. So our trade is set. Let's see how this plays out. By the way I feel like I just have to mention
771200	776800	this. So the win rate is actually higher if you include the 15 minutes prior to the opening. Not
776800	782240	all brokers offer prices outside market hours but if you are interested in that there's a link
782240	787760	to the description to the broker that I use. They are called IG. Just register for a CFD account and
787760	792480	you can get access to these instruments. So for the next minutes we're just messing around this
792480	798800	price level. We're not really going anywhere. We're not hitting the stop loss but then as you
798800	803920	can see the price eventually goes lower and if we go even further we see that we actually reach
803920	809520	the target profit here at the bottom of the range. So it was a successful trade. We entered
809520	821920	the trade at 24,872. We put the stop loss at 24,900. We set the target profit at 24,610.
821920	830640	So the trade had a 28 point stop loss with a 212 points win. So that's pretty good right? And this
830640	836400	isn't cherry picked. If we look back we had this pattern here too. They had a negative red liquidity
836400	842160	open. It reversed down here and then finished higher. The day before that we had a green open
842160	848960	but it reversed and the day before that we had a red open. It reversed and it finished green almost
848960	854400	every time it reverses. So the strategy works great with these liquidity events and they appear
854400	862240	because the big institutions need them to enter and exit their positions. Over 255 years of trading
862240	868560	history and they are everywhere. Now let me show you how to trade this live. It's already 11 am so
868560	874720	I've missed the open but I will be back tomorrow to trade this together with you. Okay good morning
874720	882560	guys it's about 10 minutes until the market opens. Remember the steps we are dialing in the 15 minute
882560	890080	opening range. We are confirming that it's a liquidity candle and we are looking for a
890080	896880	reversal candle outside the range. If we don't get these three things today then I will come back
896880	904640	tomorrow but if you are watching this it means that I kept it and spoiler alert it means that
904640	910400	it is happening today. I forgot to mention this yesterday but these liquidity events are often
910400	918080	more prominent in individual stocks than in these big indexes. The indexes often has more
918080	923680	base liquidity which means that these manipulation candles are sometimes not needed to the same
923680	928960	extent for these big institutions but as I showed you yesterday they are there in the big indexes
928960	934720	too. With that said I'm going to trade this today on an individual stock instead to show you that
934720	940400	the quick flip scalper works very well on that too possibly even better and I think I will do it
940400	946400	with the highest volume stock these days which is Nvidia. So the market opens in about two minutes.
946400	953920	Let's start by finding out what the average true range is. So I'm going to pull up the daily chart
953920	961760	I'm going to add the average true range indicator. The average true range is 8.07 bucks
962320	964240	so I will write that down.
966800	973120	Let's go back to the 15 minute time frame. Now the market opens in a couple of seconds
973920	984080	and here we go. So okay it's opening with a small gap upwards and now it's moving south.
984080	989760	Remember we are waiting for the candlestick to close before we can confirm that it's a
989760	997360	liquidity candle and for it to be a liquidity candle it has to be 25% or more of the average
997360	1003200	true range of the last 14 days. While we wait for the 15 minute candle to close we could actually
1003200	1011120	already now calculate what that is. Average true range was 8.07 bucks to make it easier let's say
1011120	1020960	8 bucks and 25% of that is 2 bucks so that means that if this candle will close with a range that
1020960	1028080	is more than 2 bucks then it is a liquidity candle. Okay so now it's 30 seconds until this
1028080	1033360	15 minute candle closes. It's not a perfect looking liquidity candle as we have this
1034320	1039280	this wick here but I think it's good enough. Preferably we wouldn't have it but I think it's
1039280	1046560	okay. The range is clearly exceeding 2 bucks though it's closer to 5 or even 6 bucks and there
1046560	1053280	it's closed so it's confirmed that it's a liquidity candle. Okay so now let's take the box drawing tool
1054320	1062400	let's connect the highest price point and the lowest price point and then we extend it into
1062400	1070960	the future and I'm only extending it for 75 minutes from here because after that we don't
1070960	1079200	want to enter the trade so any reversal after these 90 minutes are irrelevant. We only enter
1079200	1088320	trades within the first 90 minutes of the market open so the low is at 176 and the high is at 182.
1088320	1092560	Okay so that's the first two steps there is only one step left and that is to find the
1092560	1097360	reversal. Okay so this 15 minute opening range that we just made a box out of
1097360	1102800	will be of big significance for the rest of the day. Now the only remaining thing the last and
1102800	1109680	third step is to wait for the reversal candle outside of this range. As this liquidity candle
1109680	1116160	was negative we are looking for one of the two bullish reversal candlesticks at any place
1116160	1122960	below this range and if you remember we do that on a lower time frame so I'm changing the chart
1122960	1130400	down to a five minute time frame and now we just wait so if we don't get this reversal candlestick
1130400	1136240	within 90 minutes then we don't trade it we will get another chance tomorrow. So there's nothing
1136240	1142960	to do but to continue waiting so some buyers are getting in here but not yet a full reversal. I
1142960	1151040	think there are still some big players that are going to get in here so I suspect we might go
1151040	1157680	even lower. Okay here's another hammer candle but again the hammer is inside the range
1159840	1165040	which makes it invalid. We want to see a hammer candle or a bullish engulfing candle
1165040	1172480	after a strong clear downward movement and below the range. Okay we continue down from here
1173040	1180320	that's a big red candle and we're now actually outside the range and another big candle.
1180320	1186800	If we would get some kind of reversal pattern here down below the range then that's the time
1186800	1194240	to enter the trade. Okay so look at that we have a strong green candle here that could become a
1194240	1199920	engulfing candle but I'm going to place my limit order entry level here at the high of the red
1200000	1209840	candle at 175.15. So if the price goes up to this level it is in fact a bullish engulfing
1209840	1218000	candlestick so that's where we want to enter the trade. So let's see the price is still going up
1218000	1225920	let's see what happens. Okay we got it we're now in the trade I will put the stop loss down here
1226640	1238480	below the low at 172.5 and I will put the target profit at the top of this range
1239520	1250080	which is at 182.3. So that makes the stop loss around 2.65 bucks the target profit is seven
1250080	1258000	bucks so that is a risk reward ratio of 2.7 or something like that. So let's see if this
1258000	1265040	reversal holds true there are no guarantees in trading there are just probabilities and this
1265040	1274160	trade has a high probability of profit so let's see where it goes. So it's continuing upwards
1274160	1281840	actually it's still strong we have a little bit of a hesitation here still a long way to the stop
1281840	1286960	loss though. I think this looks pretty good I think we have some good chances to see this
1286960	1293760	trade go through today. Okay look at that price is now back in the range and that's promising
1294720	1302080	okay so it's continuing up. Now we've been going sideways for a while and at this point I would
1302640	1308720	consider just stopping the trade and taking the win and call it a day as we're so close to the
1308720	1313920	target profit already but just for the sake of the video I'm going to stay in the trade and I'm
1313920	1319840	going to see what happens but I'm actually going to move the stop loss to the bottom of the range
1319840	1327840	here at 176 so that we are at least in the money. Okay so now we got our target profit and to be
1327840	1334800	honest I was zoning out for a while the time is now 1 45 pm and made a great trade this trade
1334800	1340480	admittedly is a little bit longer than usual normally you're in and out from the trade a lot
1340480	1346160	faster. Okay guys that's going to conclude today's video I hope you found value in this quick flip
1346160	1352400	scalper strategy and if you're interested I have another one candle streak strategy that is very
1352720	1358560	effective but still super simple if you are interested in that give this video a thumbs up
1358560	1364800	let me know in the comments and I can make a video for that one too and I want to end with one
1364800	1371200	reminder that is that historic results are no guarantee for future results so even though this
1371200	1379200	edge has been proven to be effective over many decades it might stop working and also although
1379280	1385520	very strong on most markets this edge definitely works better with some markets and worse than
1385520	1393760	others so please evaluate the edge regularly and as always take care trade well thank you guys
1393760	1407120	for watching I will talk to you again soon bye
