start	end	text
320000	324000	And you're going to get better risk to reward because we are discounted now
324000	331000	So obviously, if you're longing near equilibrium, you're going to get at least a one-to-one back to this high
331000	336000	And like Blake said, you know, the deeper you go into this range, into the discount for longs
336000	338000	The better that your risk to reward is going to be
338000	343000	I'll say it a million times, all these concepts and everything we teach you, you don't just use them individually
343000	345000	You pair them with everything else we've taught you
345000	350000	But this is very important to know because this is going to optimize your entries
350000	354000	It's going to optimize your RR, it's going to help you avoid getting stop rated
354000	358000	And it's going to allow you to achieve more consistent trading results
358000	361000	So let's pair this with something like fair value gaps, right?
361000	364000	If we want to be longing a fair value gap of this bullish leg
364000	367000	Ideally, we wouldn't want to long the one that's premiumed all the way here
367000	369000	Because we're obviously not going to get good risk reward
369000	374000	And chances are that price won't reject this premium bullish value gap
374000	377000	Like it will reject this discounted bullish value gap
377000	383000	Why is that? Because if you're going to be longing this fair value gap up here, this range has still yet to be rebalanced
383000	386000	Ideally, you'd want to wait for the range to get rebalanced
386000	391000	If you're going to enter off a fair value gap, you'd want it to be the discounted one if you're going to enter long
391000	396000	So this is going to have a way higher probability of actually being respected and then trading to the desired level
396000	401000	Now again, guys, this might get a little bit confusing because obviously there's going to be ranges inside of ranges
401000	404000	For example, here we have this dealing range that we just had
404000	409000	But then also, once this swing gets made, we're going to be having another dealing range right here
409000	413000	So we're going to get into some examples on how to actually draw out your ranges correctly
413000	419000	So you don't just get lost because this is a very confusing ICT concept that I feel like a lot of people get mixed up with
419000	421000	Like where do I draw our ranges?
421000	424000	But we're going to go into some examples right now to hopefully clear things up
424000	429000	So again, guys, with this concept, you want to be utilizing it with other confluences, right?
429000	431000	So as we talked about in our liquidity video, right?
431000	434000	We had a sweep here of this liquidity right here
434000	436000	Nice little sell side sweep
436000	438000	Yes. What do we notice we got above guys?
438000	440000	Some nice buy side liquidity
440000	442000	We have buy side liquidity resting here
442000	446000	And we also have that low resistance liquidity as a liquidity pool
446000	451000	So obviously once we've identified that we have that sell side sweep on the higher time frame and we swept that 15 minute low
451000	456000	Now we have this impulse leg on the one minute time frame, right?
456000	460000	We clearly have very strong bullish reaction here after that sell side sweep
460000	463000	And now we can mark out this range top to bottom, right?
463000	466000	So here we have equilibrium resting, which is going to be the point five
466000	471000	So ideally I'd want to be longing from a retracement into at least equilibrium
471000	477000	But something I do want to say is that we don't necessarily need to be in the trade at discount
477000	482000	As long as we know that this range has been rebalanced, we should be okay to be longing
482000	486000	So if you're feeling confident enough with price where you're telling yourself, okay, this range has been rebalanced
486000	489000	I have all the bullish conflicts that I need to be longing and we're in this discount
489000	492000	This range has gone rebalanced as well. You know, this is looking good for longs
492000	493000	I'll enter off here
493000	495000	But sometimes you might want to wait for a little bit of structure
495000	498000	So you'll probably wait for a reaction off of equilibrium
498000	501000	And maybe once you get that reaction, you're like, okay, I'll take longs from here
501000	504000	Stop, I'll have to swing low and then I'll target all this, right?
504000	509000	So what I'm trying to get out here is you don't necessarily need to be in the trade at discount
509000	513000	But you do want to see that range get rebalanced before you enter long
513000	518000	But before price truly enters bullish order flow, you're going to notice that it's going to want to rebalance this range
518000	521000	Which you can see right here. It taps into equilibrium
521000	526000	It hits this discounted fair value gap. And then what happens after we get that delivery higher, right?
526000	529000	And we go ahead and run all these levels that we have marked out
529000	533000	So this is why understanding how to use this fit retracement tool is really important
533000	538000	Because if you are able to mark out premiums and discounts of legs, then you're going to optimize your entry
538000	545000	But before we even go about executing on the lower time frame, we also still want to be analyzing if these ranges are being rebalanced on the higher time frame
545000	548000	So right now we're on the five minute chart. We were previously on the one minute chart
548000	555000	If we mark out this leg right here on the five minute chart, you can clearly see that price goes ahead trades higher really impulsively
555000	559000	And then before it continues higher and breaks its high once again, what do we get?
559000	561000	We get that rebalanced equilibrium
561000	565000	Why is this important? Because it's the same things that you want to see on the lower time frame
565000	567000	You want to see in the higher time frame same things you want to see on the higher time frame
567000	571000	You want to see in the lower time frame. It's all fractal. You want to be able to apply it across all time frames
571000	574000	So if you're seeing a range get rebalanced on the higher time frame, what's it going to help you do?
575000	578000	It's going to help you determine your bias. It's going to help you go about your next strong liquidity
578000	585000	And you can see this is literally constantly happening. We get this strong move up price rebalances hits equilibrium goes up higher
585000	590000	What do we get here? Price moves up rebalance this range goes up higher. Do you get what I'm trying to say now?
590000	597000	There's always going to be a stronger reaction when price is rebalancing these ranges and tapping into these significant PDR race
597000	599000	So hopefully you guys see what I'm trying to get at here, right?
599000	603000	Price usually needs to rebalance these ranges before it can continue in the direction that it wants to
603000	608000	So now that we know that the higher time frame leg is rebalanced, we don't really have to worry about price trading lower here
608000	613000	We just want to pair these exact same confluences on the lower time frame so we can execute properly
613000	615000	So we know the higher time from got rebalanced, right?
615000	620000	We trade it into equilibrium and then we also get that trade back into equilibrium here and everything is aligning
620000	624000	We're clearly seeing that every time we have a leg up price goes back
624000	631000	Rebalances that range and then gets a reaction and we know from here we are ready for longs, baby
631000	634000	And with this guys also is that ranges are always expanding, right?
634000	638000	So every time we take out a new swing your range is constantly expanding
638000	642000	So for example here we have this swing low and then this major swing high point
642000	647000	And what you should be looking for underneath equilibrium of this range is liquidity pools or fair value gaps
647000	649000	And in this scenario here we have both
649000	653000	We have this liquidity pool being the south side liquidity and then we have this bullish fair value gap
653000	659000	And that's how we were able to come to that conclusion of that bullish bias on the higher time frame because we expanded this range
659000	664000	And we saw that price traded below equilibrium of this range and then we got our lower time frame entry
664000	668000	Now we're going to get into a bearish example of premium discount. Good one
668000	672000	Alright guys, so right here we have a very strong impulsive down move
672000	675000	And this was probably from news, right? So we can mark out the swing high
675000	677000	This is our swing high and then this is our swing low
677000	680000	And this does go lower and as I was saying ranges are always expanding
680000	682000	So you just draw it out a little bit lower now
682000	684000	Now that that swing low is put in place
684000	689000	We want to see price trade into premium of this range before entering into any sort of shorts, right?
689000	696000	We want to see price get rebalanced and then we want to see that lower time frame confirmation get out of this to then enter a short
696000	697000	So I'm going to go down now to the five minute
697000	702000	So as you guys can see here, we have this bearish five minute for value gap sitting at equilibrium of this range, right?
702000	705000	So I want to see this get traded to before entering into a short
705000	710000	You do not want to be shorting, you know, when we're down here before hitting equilibrium, right?
710000	712000	Because there's still room for price to move
712000	716000	We still need price to trade into equilibrium orders are getting filled here, right?
716000	720000	Nobody in the market is entering at this low into discount, right?
720000	723000	So once price trades into this five minute for value gap
723000	729000	I'm then going to look for that lower time frame structure to get confirmation that we're going to go lower towards this sell side liquidity down here
729000	734000	And from here price ends up trading back down towards the sell side liquidity as you can see
734000	739000	And I want you guys to know also to not be marking out every single range that you guys see, right?
739000	742000	For example here in this scenario, if I'm going to be bearish, right?
742000	745000	And I'm looking for shorts down towards this sell side liquidity
745000	749000	I'm not going to be marking out, you know, impulse legs from here to here, right?
749000	752000	Because that's not what I'm looking to see price get traded into
752000	755000	I'm not looking for longs, right? I'm looking for shorts
755000	757000	So all I'm caring about is this impulse like here
757000	760000	And then if I'm going to be dropping down to the lower time frame, right?
760000	762000	I'm going to be looking for those impulse legs on the lower time frame
762000	766000	So we're going to get into a couple more examples now guys, just instill this into your brain
767000	770000	So here we've identified another super strong impulsive leg down, right?
770000	776000	We have this very, very blatantly voluminous, juicy, ginormous fricking...
776000	777000	Hey yo!
777000	780000	Okay, we know that now since there's a huge imbalance in price
780000	783000	It most likely needs to be corrected if it is going to sell off again, right?
783000	786000	But like we said before, ranges can be confusing
786000	791000	And just because we hit equilibrium of this doesn't mean that order flow has to flip completely bearish
791000	795000	We can always continue to analyze the ranges as we go to see where price truly wants to go
795000	799000	So if we play this out, we see that price trades up until equilibrium
799000	801000	And naturally we do get a reaction
801000	807000	But instead of expanding lower, we can see that price actually ends up respecting this newly formed range and continues higher
807000	809000	And notice what price keeps doing, right?
809000	813000	If we continue focusing on these new ranges and these new impulse legs being created
813000	816000	Which are now towards the upside and we keep marking them out
816000	817000	What do we realize?
817000	822000	Well, we notice that price will continue rebalancing these and then expanding higher
822000	824000	So we do have a flip in order flow here
824000	826000	This range itself is getting ran through
826000	829000	But at first we did get a reaction from the equilibrium
829000	833000	However, with these new ranges being formed, we are now getting reactions to the upside
833000	838000	And these bullish ranges are getting rebalanced and continuing to expand higher
838000	841000	And this happens nearly all the time, right?
841000	842000	Sometimes it's not perfect
842000	849000	But for the most part, you are getting these rebalances pretty frequently before price continues to expand higher
849000	852000	So yeah guys, I know this might seem like a little bit confusing now
852000	857000	But guys, trust me, once you start adding this with all of your other confluence like we've taught you
857000	860000	Like liquidity sweeps, like for value gaps, right?
860000	862000	We're going to get into daily bias and all of that later on
862000	866000	But you guys will slowly start piecing together all of these concepts that we teach you
866000	868000	And it will make a lot more sense later on
868000	871000	So if we use something like the fib tool and premiums and discounts
871000	877000	And just a simple understanding that ranges naturally need to get rebalanced almost all the time to continue in the corresponding direction
877000	880000	Then you can use that to help you determine something like your bias, right?
880000	883000	So let's say we mark out this leg top to bottom
883000	886000	We have this really strong leg, this impulsive bearish leg
886000	888000	And we're trading AM session
888000	894000	Then we're most likely thinking that for AM session we'd want to see price rebalance this range
894000	896000	So maybe during AM session we're going to be looking for longs
896000	900000	We're going to have a bullish bias because we know there's a huge imbalance in this leg
900000	901000	And it most likely needs to be corrected
901000	904000	You can mark something out like this hourly bearish fair value gap
904000	906000	You can anticipate, okay, going into this morning
906000	908000	I probably want to see if I can catch some longs
908000	912000	Maybe trade up into this hourly bearish fair value gap that's sitting at the premium of the range
912000	916000	And so obviously you can see during AM session that's exactly what you get
916000	918000	Price goes ahead, rebalances this range
918000	920000	And now if you're trading PM session
920000	926000	You can use that higher time from analysis with premiums and discounts to also determine your next bias and your next draw on liquidity
926000	930000	So now you know, okay, we're sitting inside this hourly bearish fair value gap
930000	931000	It's PM session now
931000	933000	This range has already been rebalanced
933000	935000	Do I really want to keep looking for longs?
935000	936000	Most likely not
936000	942000	And you can see that PM session goes ahead and has a strong reaction down because we rebalance this range
942000	947000	So this is like very vaguely just showing you how you can use this to help determine your bias
947000	950000	Simply analyzing where these imbalances in price are lying
950000	952000	Whether we are trading in the premium or discount
952000	955000	And this will help you get a more accurate narrative of price in general
955000	958000	So we can almost piece this in like three parts, right?
958000	960000	You have like your higher timeframe leg
960000	962000	We have this really strong bullish leg
962000	964000	If we're going to be bullish going into the morning
964000	966000	Then we want to make sure this range is rebalanced
966000	967000	Awesome
967000	969000	We know that we have this higher timeframe leg being rebalanced
969000	972000	Let's consider the green zone to be like the hourly timeframe
972000	974000	Maybe the one hour, the four hour
974000	976000	We know that this higher timeframe leg has gotten rebalanced
976000	978000	And we know that we're getting a reaction from it
978000	981000	So then if we're like looking at relatively lower timeframes
981000	984000	Like the 15 minute, let's make this like orange
984000	988000	Then this is most likely the current trading range that we're in of the session
988000	991000	And we'd also want to see this get rebalanced
991000	992000	And this get respected
992000	995000	If we want to have more confirmation for a bullish bias
995000	997000	So we sort of start off on the higher timeframe
997000	1001000	When we drop down and continue receiving that confirmation from price action
1001000	1007000	We know that this higher timeframe hourly leg has gotten rebalanced and respected
1007000	1008000	We get a reaction
1008000	1010000	Now if we're looking at like a 15 minute chart
1010000	1013000	We know that this range has also gotten rebalanced and respected
1013000	1016000	And now if we go down all the way to like where we're executing
1016000	1019000	Which is mainly going to be on the one to five minute timeframe
1019000	1020000	With the way Blake and I trade
1020000	1021000	We'll mark this out as yellow
1021000	1027000	Then we can get our final confirmation to see if these lower, lower timeframe ranges are also getting rebalanced
1027000	1029000	You know, we're probably looking for an entry now
1029000	1032000	So we'll have like a bullish value gap sitting right here
1032000	1035000	And we want to see, you know, maybe this range got rebalanced
1035000	1037000	Trade into a bullish value gap, respect that
1037000	1040000	And from there, we're locked in for longs
1040000	1042000	And we can anticipate that price will run higher
1042000	1045000	So I know this looks pretty sloppy and it's like all jumbled up together
1045000	1047000	But you get what I'm trying to say, right?
1047000	1050000	You always want to keep dropping down into the timeframes
1050000	1054000	Making sure that everything is truly being respected and building up that confirmation
1054000	1057000	The more confirmation you can build across each timeframe
1057000	1060000	The higher probability that your trade is going to play out
1060000	1062000	Okay guys, so going off what Patrick just said
1062000	1065000	I'm going to be pairing everything together in an example right here on the chart
1065000	1067000	So on the higher timeframe, I'm bullish
1067000	1071000	So I'm going to be marking out this swing low here to this swing high, right?
1071000	1073000	And underneath that, what do we see?
1073000	1076000	We have a bullish fair value gap here on the hourly timeframe
1076000	1079000	So for me to be taking longs, what I want to see price do
1079000	1082000	Is for price to trade back into this bullish fair value gap
1082000	1084000	Get some reaction out of that
1084000	1086000	Maybe form that lower timeframe confirmation
1086000	1090000	And then we can get some longs out of there to target this buy-side liquidity
1090000	1092000	So now I'm going to drop down into the 15-minute timeframe
1092000	1095000	And I'm going to wait for this fair value gap to get traded into
1095000	1098000	So once this fair value gap gets traded into and we respect it
1098000	1099000	I'm now on the 15-minute timeframe
1099000	1102000	I'm going to wait for that structure to then validate this bias
1102000	1104000	I'm going to go down now to this 5-minute timeframe
1104000	1108000	To see if we can actually get an entry and if we can get some reaction off of this level
1108000	1109000	So now I'm going to whip out this Fib
1109000	1111000	I'm going to go from the swing low to the swing high
1111000	1114000	And I'm going to wait for price to trade into equilibrium
1114000	1116000	Into this fair value gap to then get a trade idea off this
1116000	1119000	I keep expanding this range here, keep expanding this
1119000	1121000	Now that the swing high is put into place
1121000	1124000	I'm looking to see price trade below equilibrium of this range
1124000	1125000	And what do we see here?
1125000	1127000	Well, we have sell-side liquidity resting right here
1127000	1131000	As well as we have this bullish fair value gap right here in discount
1131000	1134000	So I want to see price then trade lower into this fair value gap
1134000	1136000	Sweeping out the sell-side liquidity
1136000	1139000	And then getting along towards this buy-side liquidity above us
1139000	1141000	Then price ends up sweeping out this low
1141000	1143000	Trading into this bullish fair value gap
1143000	1145000	We get a reaction off this
1145000	1148000	And here I can enter longs with a stop loss of this swing
1148000	1150000	TP at this high, for example
1150000	1154000	And maybe you can even leave runners for that buy-side liquidity on the hourly timeframe
1154000	1155000	And then we can play out price here
1155000	1158000	And it ends up smacking all of these take profits
1158000	1161000	So you want to be marking out your Fibonacci guys for everything
1161000	1163000	On the daily timeframe, on the hourly
1163000	1166000	To really get a sense of where your bias is
1166000	1168000	And then for your actual entry point
1168000	1171000	It's going to be really, really helpful in getting that risk reward
1171000	1174000	Because the Fibonacci and equilibrium and premium and discount
1174000	1176000	It's useful for those two reasons
1176000	1179000	One is for actual imbalances in price
1179000	1181000	The market likes to trade towards discount
1181000	1184000	Because that's where a lot of buyers are stepping in
1184000	1186000	And price likes to trade towards premium
1186000	1188000	Because that's where a lot of sellers are stepping in
1188000	1191000	So a lot of orders are getting filled at those areas
1191000	1193000	And then for us, for traders
1193000	1196000	We want to be using that as an actual entry point for risk reward reasons
1196000	1199000	So understanding the two reasons of why the Fib tool
1199000	1201000	And why premium discount is so helpful
1201000	1204000	Is going to help you guys a lot in just your overall trading
1204000	1207000	So yeah guys, that pretty much wraps up premium and discount
1207000	1210000	You can really apply this to nearly everything in life
1210000	1213000	So the way you should think about it is if you pull up to a party
1213000	1215000	And you see a girl that you really like
1215000	1217000	It's almost like longing at a discount
1217000	1220000	You want to start, you know, chopping it up with her
1220000	1224000	Sort of getting in nice before that range gets rebalanced
1224000	1226000	Before other people start talking
1226000	1228000	And it's going to allow you to get that optimal entry
1228000	1231000	Because if you wait like too late into the night
1231000	1233000	Then chances are that range has already been rebalanced
1233000	1235000	Someone already talked to her
1235000	1237000	Someone already got the reps in
1237000	1239000	And you just missed out on the greatest long opportunity of your life
1239000	1241000	If you're not taking advice from us
1241000	1242000	You're probably never going to be rich
1242000	1243000	Nah, I'm kidding
1243000	1245000	But seriously, thank you guys so much for watching
1245000	1248000	ICT for dummies episode 8
1248000	1251000	Premium and discount
1251000	1253000	Using Fibonacci
1253000	1254000	Homework, homework guys
1254000	1258000	Is going to be mark out your premium and discount ranges
1258000	1260000	Just go into the chart
1260000	1262000	Look at the swing highs, look at the swing lows
1262000	1265000	Mark out your buy side liquidity, mark out that sell side liquidity
1265000	1268000	And you know, just be marking out your overall ranges
1268000	1270000	Seeing where price is going to trade towards
1270000	1271000	Last thing I do want to say
1271000	1273000	If you are looking for some mentoring from us
1273000	1276000	We do have applications open for our mentorship right now
1276000	1279000	You can apply through like our Instagram bio link
1279000	1282000	We'll probably toss it in the YouTube description too
1282000	1284000	When you join our mentorship
1284000	1286000	If you are more like the beginner side
1286000	1288000	We do give you like a whole 20 course video
1288000	1290000	Before we get into the live calls
1290000	1293000	And those videos will essentially explain every single concept that you need
1293000	1295000	And then we'll get more into like model breakdown
1295000	1298000	Bias, draw liquidity when the mentorship starts
1298000	1300000	And there's a lot of really fun interactive
1300000	1302000	And just great community overall in this mentorship
1302000	1304000	So if that's something you're interested in
1304000	1306000	Apply, if that's not something you're interested in
1306000	1307000	Keep watching this YouTube series
1307000	1308000	We're going to keep releasing banger videos
1308000	1311000	We're going to explain really everything for free
1311000	1312000	And give you all the sauce you need
1312000	1314000	But for those of you who do want I guess a little bit extra mentoring
1314000	1315000	Some accountability
1315000	1317000	And just overall cool community to learn with
1317000	1320000	Then link in description
1320000	1321000	Check that out
1321000	1323000	Make sure to subscribe, like, comment
1323000	1326000	Tell me what concept you're looking forward to learning most
1326000	1327000	Drop that comment below
1327000	1329000	Much love fellas
1329000	1331000	Peace out
