start	end	text
686660	692580	The first thing that happens is a swing high is created that swing high becomes a buy side liquidity, right?
692580	694140	If people are going to be shorting their market
694140	698500	Where are the buy stops going to be sitting at the swing high at this buy side liquidity?
698580	704020	Remember those are interchangeable words buy side liquidity swing high then what happens?
704060	709980	This buy side liquidity is traded away from people are shorting and their buy stops are resting right here
710020	715740	Why is it called buy stops because they're shorting the market and so if they get stopped out in the case where you're trading futures
715740	722180	Your contracts are being bought back then third step in the process of buy side liquidity being traded away from
722700	724900	sell side liquidity is created and
725340	731220	After the sell side liquidity is created price goes ahead and takes out the buy side liquidity
731260	737660	So now we are stopping out all the people who were shorting the market where buy stops are resting at this swing high and
738340	743380	Finally price trades now to the next liquidity, which is gonna be you know
743380	748880	That's sell side liquidity we had created or any other liquidity that is resting further down in the market
748880	753620	So break it down into four parts guys first identify worthy swing highs and swing lows are created
753660	759380	Once you find that notice how price will typically trade away from this level which ends up resulting in a manipulation
759380	764700	Move for 90% of retail traders then that level is traded back into
764940	769360	Those retail traders are stopped out and then the real move is initiated
769360	776580	The whole reason that ICT concepts is so important and that liquidity is so important is because it one serves as a foundation
777100	780800	But two is gonna help you avoid being liquidity, right?
780800	787960	You need to understand liquidity to avoid ending up as liquidity that being said this practically concludes our
788880	795320	ICT for dummies episode 4 liquidity. We teach you how to make money
806160	810020	And now for your homework after that lovely song on liquidity
810040	816440	We're gonna give you two assignments first being identify simply buy side and sell side liquidity levels on the chart
816480	818800	And then also identify liquidity sweeps
818800	824680	So first find out where these swing highs and swing lows are being created and then when price goes ahead and takes them and try
824680	829700	To start noticing how price reacts off of these liquidity levels. We're gonna get way more into liquidity with more videos
829700	832640	It's actually gonna be three parts of liquidity. So this is the quiddity part one
832640	836720	You're gonna have liquidity part two and the quiddity part three because there is a lot to talk about but for now
836720	841000	Let's keep it simple. This is your homework fellas. That being said, that's it
846440	848440	But it's time for you
